Salasar Techno Engineering,Previous Years Â»,,,,
Standalone Quarterly Results,------------------- in Rs. Cr. -------------------,,,,
,,,,,
,,,,,
,,,,,
,Dec '22,Sep '22,Jun '22,Mar '22,
,,,,,
,Mar '22,Mar '21,Mar '20,Mar '19,Mar '18
,,,,,
Net Sales/Income from operations,690.9,583.31,525.51,654.32,477.29
Other Operating Income,--,--,--,--,--
Total Income From Operations,690.9,583.31,525.51,654.32,477.29
EXPENDITURE,,,,,
Consumption of Raw Materials,571.5,--,397.58,--,347.79
Purchase of Traded Goods,--,--,--,--,--
Increase/Decrease in Stocks,-22.46,-13.65,17.51,-8.04,-17.88
Power & Fuel,--,--,--,--,--
Employees Cost,38.01,30.57,31.03,28.03,15.02
Depreciation,7.1,5.61,4.99,4.6,1.56
Excise Duty,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--
R & D Expenses,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--
Other Expenses,35.79,510.3,28.03,561.43,89.97
"P/L Before Other Inc. , Int., Excpt. Items & Tax",60.97,50.48,46.37,68.29,40.83
Other Income,2.19,10.15,1.71,0.86,1.18
"P/L Before Int., Excpt. Items & Tax",63.15,60.63,48.08,69.15,42
Interest,20.62,17.59,20.57,16.32,8.25
P/L Before Exceptional Items & Tax,42.54,43.04,27.51,52.83,33.75
Exceptional Items,--,--,--,--,0.26
P/L Before Tax,42.54,43.04,27.51,52.83,34
Tax,10.72,13.7,5.43,19.87,11.4
P/L After Tax from Ordinary Activities,31.81,29.34,22.08,32.96,22.61
Prior Year Adjustments,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--
Net Profit/(Loss) For the Period,31.81,29.34,22.08,32.96,22.61
Equity Share Capital,28.57,14.29,13.29,13.29,13.29
Reserves Excluding Revaluation Reserves,252.89,237.49,193.26,175.85,145.71
Equity Dividend Rate (%),10,10,20,25,20
EPS Before Extra Ordinary,,,,,
Basic EPS,11.14,21.92,16.62,24.81,18.47
Diluted EPS,11.14,21.92,16.62,24.81,18.47
EPS After Extra Ordinary,,,,,
Basic EPS,11.14,21.92,16.62,24.81,18.47
Diluted EPS,11.14,21.92,16.62,24.81,18.47
Public Share Holding,,,,,
No Of Shares (Crores),--,--,--,--,--
Share Holding (%),--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,
a) Pledged/Encumbered,,,,,
- Number of shares (Crores),--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--
b) Non-encumbered,,,,,
- Number of shares (Crores),--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--
Notes,|202203,|202103,|202003,|201903,|201803